"Year","Fruit","Variety","Area_harvested_ha","Yield_t_per_ha","Production_tons","Average_Temperature_C","Rainfall_mm","Pest_Incidence_Index","Irrigation_Water_m3_per_ha","Productivity","Growth_Percent","Disease_Class","NDVI_Index","Soil_Moisture_pct","GDD_Base10","Reference_ETo_mm","Notes","Prod_total_orig"
1995,"Dates","Sayer",337.66,10.18,3436.45,17.81,345.9,0.45,2506,0.92,61.42,"Fungal",0.75,10.03,1516,344.9,"@ ok",28773.95
1997,"Dates","Sayer",68.37,10.98,750.68,11.19,293.8,0.47,3074,0.857,56.86,"Bacterial",0.547,9.57,828,346.2,"@",12191.75
2015,"Dates","Sayer",325.48,16.17,5264.18,23.52,245.6,0.45,3574,1.014,53.61,"Bacterial",0.575,6.19,2600,356.9,"@ anomaly",50885.87
2006,"Dates","Zahidi",357.65,9.3,3327.4,19.88,278.4,0.29,3248,0.684,56.64,"Bacterial",0.576,7.26,2941,355.9,"@",15795.8
2003,"Figs","Black Mission",233.13,7.33,1707.75,14.54,330,0.26,2662,0.574,58.94,"Bacterial",0.701,9.41,1129,349.2,"@ missing-field flag",8654.1
2008,"Figs","Black Mission",87.2,9.12,795.17,18.66,340.7,0.23,2620,0.682,61.35,"None",0.653,11.19,1765,348.2,"@ ok",4858.39
2011,"Figs","Black Mission",183.35,10.17,1863.92,16.46,306.6,0.33,2997,0.77,55.77,"Bacterial",0.7,8.39,2048,359,"@",8889.16
2013,"Figs","Black Mission",219.2,6.7,1468.07,13.79,235,0.34,3808,0.427,56.39,"Bacterial",0.603,9.98,1379,349.6,"@ anomaly",8064.8
2003,"Figs","Brown Turkey",19.16,7.36,141.11,14.54,330,0.26,2662,0.577,58.94,"Bacterial",0.701,9.41,1129,349.2,"@ missing-field flag",8654.1
2011,"Figs","Brown Turkey",51.66,9.07,468.45,16.46,306.6,0.33,2997,0.687,55.77,"Bacterial",0.7,8.39,2048,359,"@",8889.16
2008,"Figs","Brunswick",86.78,8.79,762.92,18.66,340.7,0.23,2620,0.657,61.35,"None",0.653,11.19,1765,348.2,"@ ok",4858.39
1999,"Figs","Calimyrna",355.69,6.05,2152.21,14.66,363.9,0.33,2486,0.52,61.27,"Fungal",0.7,11.3,1063,333.9,"@  reviewed",6587.17
2006,"Figs","Calimyrna",20.55,11.83,243.09,17.17,319.5,0.38,2692,0.937,60.26,"Bacterial",0.677,9.96,1477,363.4,"@ anomaly",16656.81
1997,"Figs","Celeste",49.87,11.14,555.43,21.33,359.2,0.34,2452,0.942,60.61,"Fungal",0.706,10.06,2891,365.4,"@ data entry check",13809.52
2017,"Figs","Celeste",94.4,7.67,724.13,22.2,331,0.26,2800,0.554,56.89,"Fungal",0.71,9.74,2516,348.2,"@ ok",7498.65
2000,"Figs","Kadota",97.36,5.32,518.28,16.67,284,0.35,3283,0.405,58.02,"Bacterial",0.612,10.25,1358,360.1,"@",3350.87
1999,"Figs","Sari Lop",9.57,6.35,60.79,14.66,363.9,0.33,2486,0.546,61.27,"Fungal",0.7,11.3,1063,333.9,"@  reviewed",6587.17
2003,"Figs","Sari Lop",151.04,7.72,1166.54,14.54,330,0.26,2662,0.605,58.94,"Bacterial",0.701,9.41,1129,349.2,"@ missing-field flag",8654.1
2005,"Figs","Sari Lop",70.4,8.49,597.62,15.62,305.3,0.44,2838,0.585,60.25,"Bacterial",0.622,11.71,1584,360.9,"@ data entry check",13072.89
2019,"Figs","Sari Lop",57.93,10.58,612.95,14.71,269.4,0.28,3370,0.73,61.32,"Bacterial",0.631,10.13,1646,348.6,"@",7967.43
2005,"Grapes","Autumn Royal",1158.47,16.08,18633.04,17.08,272.9,0.55,3328,1.124,53.84,"Bacterial",0.558,9.59,2420,345,"@ anomaly",69116.6
2013,"Grapes","Autumn Royal",162.71,15.2,2473.94,17.98,309.9,0.35,2935,1.013,59.51,"Bacterial",0.739,10.75,1824,345.6,"@ ok",33276.5
1998,"Grapes","Crimson Seedless",799.23,14.65,11709.38,20.56,363.4,0.08,2518,1.254,68.08,"None",0.749,9.71,2940,347,"@ anomaly",77629.45
2002,"Grapes","Crimson Seedless",916,8.36,7658,21.76,264.7,0.55,3385,0.594,57.42,"Bacterial",0.601,9.86,3058,331.5,"@ anomaly",36783.08
2017,"Grapes","Crimson Seedless",444.76,16.5,7336.35,23.28,304.1,0.33,3025,1.171,58.97,"Bacterial",0.624,7.7,2826,341.8,"@ ok",66801.74
1999,"Grapes","Flame Seedless",406.9,8.23,3350.72,20.72,281,0.4,3097,0.652,64.76,"Bacterial",0.611,11.11,2515,346.6,"@",29847
2005,"Grapes","Flame Seedless",128.39,16.11,2068.87,17.08,272.9,0.55,3328,1.126,53.84,"Bacterial",0.558,9.59,2420,345,"@ anomaly",69116.6
2017,"Grapes","Flame Seedless",233.73,17.75,4148.03,23.28,304.1,0.33,3025,1.26,58.97,"Bacterial",0.624,7.7,2826,341.8,"@ ok",66801.74
2001,"Grapes","Italia",962.23,12.26,11792.38,12.78,285.6,0.32,3123,0.96,58.2,"Bacterial",0.62,7.46,1184,365.7,"@ missing-field flag",62869.06
2004,"Grapes","Italia",256.57,17.82,4573.18,19.44,233,0.5,3678,1.294,55.54,"Bacterial",0.571,10.54,2045,356.6,"@ ok",45340.63
2005,"Grapes","Italia",1815.86,16.84,30576.82,17.08,272.9,0.55,3328,1.177,53.84,"Bacterial",0.558,9.59,2420,345,"@ anomaly",69116.6
2009,"Grapes","Italia",138.12,19.24,2657.43,20.84,224.4,0.41,3863,1.285,57.32,"Bacterial",0.505,9.89,2118,366.9,"@ ok",60060.23
2012,"Grapes","Italia",15.61,15.9,248.18,23.43,339.8,0.23,2697,1.104,61.84,"None",0.677,7.98,2828,354.2,"@ anomaly",73032.51
1995,"Grapes","Red Globe",149.97,9.34,1401.29,13.5,378.7,0.28,2559,0.846,60.32,"Fungal",0.756,7.83,1313,352.9,"@  reviewed",17911.29
1997,"Grapes","Red Globe",933.15,15.57,14525.66,20.31,254.4,0.37,,,63.35,"Bacterial",0.593,,2549,343,"@ data entry check",68335.76
2002,"Grapes","Sultana",359.93,8.66,3116.2,21.76,264.7,0.55,3385,0.615,57.42,"Bacterial",0.601,9.86,3058,331.5,"@ anomaly",36783.08
2011,"Grapes","Superior Seedless",219.49,13.34,2928.51,21.18,202.5,0.49,4021,0.808,58.47,"Bacterial",0.497,10.14,3200,363.8,"@ missing-field flag",53353.61
2016,"Grapes","Superior Seedless",72.91,16.83,1227.38,15.16,,0.4,2905,1.109,54.04,"Bacterial",,,1926,,"@ missing-field flag",70182.74
2022,"Grapes","Superior Seedless",146.24,19.98,2921.52,24,259.6,0.41,3401,1.201,59.64,"Bacterial",0.589,9.53,3130,368.8,"@",49747.27
2002,"Grapes","Thompson Seedless",1517.46,9.03,13709.7,21.76,264.7,0.55,3385,0.641,57.42,"Bacterial",0.601,9.86,3058,331.5,"@ anomaly",36783.08
2006,"Grapes","Thompson Seedless",291,15.95,4641.09,15.25,375,0.27,2601,1.205,55.98,"Fungal",0.758,7.37,1775,352.7,"@ missing-field flag",66206.36
2012,"Grapes","Thompson Seedless",446.7,16.63,7428.63,23.43,339.8,0.23,2697,1.154,61.84,"None",0.677,7.98,2828,354.2,"@ anomaly",73032.51
2013,"Grapes","Thompson Seedless",231.53,15.04,3483.19,17.98,309.9,0.35,2935,1.003,59.51,"Bacterial",0.739,10.75,1824,345.6,"@ ok",33276.5
2014,"Grapes","Thompson Seedless",641.05,16.92,10849.18,14.94,247,0.47,3626,1.104,58.91,"Bacterial",0.558,11.7,1765,352.9,"@ ok",57640.58
2001,"Lemons","Eureka",145.01,13.3,1928.56,19.19,366.5,0.34,2508,1.043,60.97,"Fungal",0.76,7.4,2243,346.5,"@",12184.45
2003,"Lemons","Eureka",203.23,14.69,2984.9,21.2,342.1,0.41,2560,1.334,61.64,"Fungal",0.704,10.71,2387,360,"@ data entry check",17680.02
2018,"Lemons","Eureka",45.18,4.61,208.47,20.2,319.5,0.26,2698,0.318,58.55,"Bacterial",0.694,10.3,2143,353.8,"@ anomaly",8344.46
2020,"Lemons","Eureka",163.73,9.69,1586.17,15.92,275.2,0.45,3400,0.601,59.76,"Bacterial",0.614,8.38,1283,364.7,"@",13898.31
2023,"Lemons","Eureka",395.44,1.58,623.87,18.21,,0.44,3282,0.099,62.86,"Bacterial",,,2262,,"@",15381.67
2023,"Lemons","Eureka",395.44,1.58,623.87,18.21,,0.44,3282,0.099,,"Bacterial",,,2262,,"@",17379.15
2009,"Lemons","Femminello",288.48,13.81,3983.09,22.47,311,0.38,2829,1.009,61.58,"Bacterial",0.692,9.75,2942,341.9,"@ anomaly",21523.09
2013,"Lemons","Femminello",114.42,7.81,893.29,14.3,300.2,0.46,2987,0.52,58.32,"Bacterial",0.672,10.24,1565,375.8,"@",13632.48
2014,"Lemons","Femminello",3.83,7.33,28.07,14.44,296.3,0.36,3002,0.534,58.44,"Bacterial",0.706,9.13,1352,330.2,"@",10429.32
2022,"Lemons","Femminello",441.12,5.31,2343.43,23.62,296.8,0.31,2989,0.301,57.91,"Bacterial",,,2868,,"@  reviewed",10597.92
2023,"Lemons","Femminello",13.69,2.28,31.21,21.28,243.2,0.38,3658,0.145,55.91,"Bacterial",0.525,8.11,2662,358.7,"@ data entry check",15381.67
2000,"Lemons","Genoa",3.23,9.8,31.66,14.17,352.7,0.24,2505,0.788,59.68,"None",0.715,8.12,1441,364.4,"@ ok",19182.83
2007,"Lemons","Genoa",42.62,13.93,593.67,18.91,326.7,0.32,2749,1.087,60.91,"Bacterial",0.663,9.32,2213,366.9,"@  reviewed",28576.47
2003,"Lemons","Interdonato",18.11,15.68,284.03,21.2,342.1,0.41,2560,1.424,61.64,"Fungal",0.704,10.71,2387,360,"@ data entry check",17680.02
2004,"Lemons","Interdonato",47.69,15.29,728.97,18.55,310.9,0.5,2935,1.121,59.21,"Bacterial",0.628,8.46,2412,340.6,"@",18899.03
2017,"Lemons","Interdonato",10.8,6.44,69.59,19.92,282.7,0.45,3127,0.4,56.09,"Bacterial",0.626,9,2887,338.3,"@",12740.71
2000,"Lemons","Lisbon",905.18,10.21,9243.79,14.17,352.7,0.24,2505,0.821,59.68,"None",0.715,8.12,1441,364.4,"@ ok",19182.83
1995,"Lemons","Meyer",106.71,15.88,1694.93,18.53,304.3,0.35,2909,1.205,60.65,"Bacterial",0.667,11.65,2316,346.1,"@",15974.65
2009,"Lemons","Meyer",287.8,13.37,3849.16,22.47,311,0.38,2829,0.976,61.58,"Bacterial",0.692,9.75,2942,341.9,"@ anomaly",21523.09
2015,"Lemons","Meyer",,,,23.46,240.8,0.41,3533,,55.62,"Bacterial",0.615,9.24,3179,361.6,"@ ok",18493.43
2018,"Lemons","Meyer",0.13,5.38,0.7,20.2,319.5,0.26,2698,0.372,58.55,"Bacterial",0.694,10.3,2143,353.8,"@ anomaly",8344.46
2023,"Lemons","Meyer",250.1,1.54,385.93,18.21,,0.44,3282,0.097,62.86,"Bacterial",,,2262,,"@",15381.67
1999,"Lemons","Primofiori",105.76,27.73,2932.82,23.9,277.9,0.33,3180,2.182,59.23,"Bacterial",0.643,7.1,3199,336.2,"@  reviewed",71139.47
2000,"Lemons","Primofiori",525.67,10.07,5291.14,14.17,352.7,0.24,2505,0.81,59.68,"None",0.715,8.12,1441,364.4,"@ ok",19182.83
2003,"Lemons","Primofiori",249.66,14.81,3696.69,21.2,342.1,0.41,2560,1.345,61.64,"Fungal",0.704,10.71,2387,360,"@ data entry check",17680.02
2018,"Lemons","Primofiori",109.02,5.33,581.55,20.2,319.5,0.26,2698,0.368,58.55,"Bacterial",0.694,10.3,2143,353.8,"@ anomaly",8344.46
1998,"Lemons","Verna",837.5,17.32,14504.33,18.79,318.4,0.27,2877,1.281,58.38,"Bacterial",0.656,6.35,2183,332.5,"@ ok",44632.09
2002,"Lemons","Verna",503.54,15.1,7601.21,16.46,290.2,0.4,3057,1.117,60.04,"Bacterial",0.656,9.42,1723,345.8,"@  reviewed",32768.93
2004,"Lemons","Verna",18.9,15.6,294.76,18.55,310.9,0.5,2935,1.144,59.21,"Bacterial",0.628,8.46,2412,340.6,"@",18899.03
2011,"Lemons","Verna",115.5,10.04,1159.85,17.37,298.7,0.51,3006,0.685,59.71,"Bacterial",0.641,9.54,2111,356.1,"@ data entry check",18507.89
2008,"Oranges","Blood Orange",175.6,16.92,2971.42,16.64,279.1,0.46,3268,1.061,54.68,"Bacterial",0.662,7.31,1196,352,"@",39440.48
2020,"Oranges","Hamlin",88.93,14.68,1305.72,23.44,402.8,0.34,2603,0.946,63.29,"Fungal",0.814,7.72,2849,347.1,"@ anomaly",52929.21
2023,"Oranges","Hamlin",1041.1,2.97,3096.03,14.9,303.7,0.31,2967,0.196,55.93,"Bacterial",0.668,9.43,1194,340.2,"@ missing-field flag",65865.69
1995,"Oranges","Jaffa",1210.8,21.82,26424.73,18.56,308.2,0.23,2962,1.786,62.25,"None",0.67,10.92,1938,347.5,"@  reviewed",53232.47
2003,"Oranges","Jaffa",1333.7,20.22,26963.07,21.06,274.5,0.35,3292,1.392,63.53,"Bacterial",0.653,10.3,2867,362.2,"@ ok",100023.99
2023,"Oranges","Jaffa",16.7,2.86,47.77,14.9,303.7,0.31,2967,0.189,54.63,"Bacterial",0.668,9.43,1194,340.2,"@ missing-field flag",53381.36
1999,"Oranges","Navel",67.57,12.92,873.22,20.04,305.2,0.35,3023,0.981,58.65,"Bacterial",0.674,10.38,2344,362.3,"@ data entry check",82190.58
2002,"Oranges","Pineapple",624.28,19.34,12071.75,17.86,373.4,0.35,2499,1.446,61.13,"Fungal",0.778,13.12,1565,361.8,"@",74138.72
2017,"Oranges","Pineapple",86.77,15.64,1357.33,20.7,326.5,0.56,2713,1.056,57.89,"Bacterial",0.666,6.95,2390,351.1,"@ missing-field flag",83051.15
2018,"Oranges","Pineapple",922.85,6.94,6405.2,18.4,321.1,0.42,2635,0.466,57.02,"Bacterial",0.618,8.96,2207,366.2,"@",28677.66
1996,"Oranges","Salustiana",93.22,21.52,2005.67,18.5,329.9,0.54,2612,1.784,60.45,"Bacterial",0.688,8.91,2329,335.5,"@ missing-field flag",133064.76
2020,"Oranges","Salustiana",1394.45,14.88,20745.68,23.44,402.8,0.34,2603,0.959,63.29,"Fungal",0.814,7.72,2849,347.1,"@ anomaly",52929.21
1995,"Oranges","Shamouti",23.88,21.15,505.04,18.56,308.2,0.23,2962,1.731,62.25,"None",0.67,10.92,1938,347.5,"@  reviewed",53232.47
2023,"Oranges","Shamouti",184.46,4.28,790.08,17.1,315.1,0.37,2853,0.323,58.06,"Bacterial",0.693,8.41,1650,349.8,"@ ok",65865.69
2008,"Oranges","Valencia",2.18,19.73,43.01,16.64,279.1,0.46,3268,1.238,54.68,"Bacterial",0.662,7.31,1196,352,"@",39440.48
2013,"Oranges","Valencia",212.23,18.1,3842.14,12.66,281.2,0.34,3333,1.151,56.62,"Bacterial",0.639,8.78,1134,336.6,"@ data entry check",62344.44
2021,"Oranges","Valencia",295.71,13.51,3994.28,15,290.1,0.48,3185,0.818,60.65,"Bacterial",0.633,8.07,1729,328.3,"@ missing-field flag",35093.19
2006,"Peaches","Early Grande",79.65,13.18,1050.11,18.6,333.3,0.34,2689,1.056,62.7,"Fungal",0.756,9.71,2585,363.7,"@",20591.35
2020,"Peaches","Early Grande",905.18,10.77,9751.66,18.6,276.3,0.32,3185,0.662,56.55,"Bacterial",0.611,10.07,2434,336.3,"@ data entry check",26027
2023,"Peaches","Early Grande",876.71,9.89,8670.66,23.26,344.2,0.38,2588,0.654,62.27,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",27155.27
1997,"Peaches","Elberta",208.53,18.09,3772.33,19.82,311.9,0.31,2947,1.376,56.7,"Bacterial",0.657,9.84,2047,342,"@ missing-field flag",29582.27
2001,"Peaches","Elberta",169.99,11.14,1893.69,12.76,338,0.32,2778,0.928,57.2,"Fungal",0.68,9.38,881,344.4,"@  reviewed",13280.2
2007,"Peaches","Elberta",33.75,12.66,427.18,22.58,259.1,0.42,3318,0.972,61.02,"Bacterial",0.56,8.64,3253,362.3,"@",22705.77
2009,"Peaches","Elberta",43.48,10.8,469.59,23.73,282,0.41,3136,,59.55,"Bacterial",0.599,10.05,3156,354.4,"@ data entry check",20885.81
2011,"Peaches","Elberta",394.65,18.01,7108.28,18.46,259.1,0.41,3364,1.223,58.28,"Bacterial",0.587,9.06,2356,357.2,"@ anomaly",20267.64
2012,"Peaches","Elberta",65.15,12.55,817.89,18.6,364.8,0.26,2498,0.915,60.75,"Fungal",0.78,9.14,2419,337.3,"@ data entry check",30217.13
2017,"Peaches","Elberta",347.99,7.46,2594.62,18.43,319.3,0.19,2707,0.547,57.78,"None",0.673,9,1687,332,"@ missing-field flag",19477.48
2001,"Peaches","Glohaven",17.25,12.21,210.55,12.76,338,0.32,2778,1.017,57.2,"Fungal",0.68,9.38,881,344.4,"@  reviewed",13280.2
2005,"Peaches","Glohaven",691.94,12.73,8809.81,18.84,322.9,0.19,2783,0.919,59.34,"None",0.672,9.7,2119,365.8,"@ anomaly",26659.07
2008,"Peaches","Glohaven",79.21,11.16,884.35,13.77,392.3,0.16,2497,0.885,61,"None",0.783,7.4,1410,361.6,"@ missing-field flag",26079.6
2016,"Peaches","Glohaven",347.56,9.98,3468.42,12.85,292.6,0.2,2997,0.674,56.07,"None",0.623,6.31,997,352.8,"@ anomaly",27499.6
2023,"Peaches","Glohaven",51.65,10.37,535.61,23.26,344.2,0.38,2588,0.685,62.27,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",27155.27
2023,"Peaches","Glohaven",102.18,10.26,1048.37,14.4,244.7,0.58,3642,0.642,52.51,"Bacterial",0.499,9.72,1664,342.4,"@ anomaly",27155.27
2012,"Peaches","Julyprince",577.7,11.56,6675.66,18.6,364.8,0.26,2498,0.842,60.75,"Fungal",0.78,9.14,2419,337.3,"@ data entry check",30217.13
2023,"Peaches","Julyprince",869.8,11.33,9854.83,23.26,344.2,0.38,2588,0.749,60.52,"Fungal",0.702,8.34,3222,350.8,"@ missing-field flag",
